2025-04-26 14:09:49,585 - INFO - Episode 143, Reward: -6.00, Avg Reward (last 100): -8.21, Epsilon: 0.931, Loss: 29.7240, Steps: 2
2025-04-26 14:09:49,620 - INFO - Episode 144, Reward: -24.00, Avg Reward (last 100): -8.32, Epsilon: 0.930, Loss: 26.4371, Steps: 13
2025-04-26 14:09:49,642 - INFO - Episode 145, Reward: 11.00, Avg Reward (last 100): -8.20, Epsilon: 0.930, Loss: 22.5083, Steps: 1
2025-04-26 14:09:49,668 - INFO - Episode 146, Reward: 3.00, Avg Reward (last 100): -8.29, Epsilon: 0.929, Loss: 25.6613, Steps: 4
2025-04-26 14:09:49,698 - INFO - Episode 147, Reward: -17.00, Avg Reward (last 100): -8.37, Epsilon: 0.929, Loss: 20.2738, Steps: 8
2025-04-26 14:09:49,726 - INFO - Episode 148, Reward: -7.00, Avg Reward (last 100): -8.38, Epsilon: 0.928, Loss: 23.3334, Steps: 6
2025-04-26 14:09:49,749 - INFO - Episode 149, Reward: -6.00, Avg Reward (last 100): -7.97, Epsilon: 0.928, Loss: 23.4322, Steps: 1
2025-04-26 14:09:49,772 - INFO - Episode 150, Reward: 11.00, Avg Reward (last 100): -7.93, Epsilon: 0.927, Loss: 20.3666, Steps: 2
2025-04-26 14:09:49,796 - INFO - Episode 151, Reward: 10.00, Avg Reward (last 100): -7.77, Epsilon: 0.927, Loss: 21.2266, Steps: 2
2025-04-26 14:09:49,825 - INFO - Episode 152, Reward: 16.00, Avg Reward (last 100): -7.78, Epsilon: 0.926, Loss: 21.9920, Steps: 6
2025-04-26 14:09:49,856 - INFO - Episode 153, Reward: -14.00, Avg Reward (last 100): -8.02, Epsilon: 0.926, Loss: 27.3617, Steps: 9
2025-04-26 14:09:49,879 - INFO - Episode 154, Reward: 10.00, Avg Reward (last 100): -7.65, Epsilon: 0.925, Loss: 19.5153, Steps: 1
2025-04-26 14:09:49,913 - INFO - Episode 155, Reward: -26.00, Avg Reward (last 100): -7.88, Epsilon: 0.925, Loss: 24.5584, Steps: 12
2025-04-26 14:09:49,943 - INFO - Episode 156, Reward: -9.00, Avg Reward (last 100): -8.03, Epsilon: 0.924, Loss: 23.7120, Steps: 7
2025-04-26 14:09:49,968 - INFO - Episode 157, Reward: -16.00, Avg Reward (last 100): -8.10, Epsilon: 0.924, Loss: 19.9923, Steps: 3
2025-04-26 14:09:49,995 - INFO - Episode 158, Reward: -8.00, Avg Reward (last 100): -8.29, Epsilon: 0.924, Loss: 22.4723, Steps: 6
2025-04-26 14:09:50,020 - INFO - Episode 159, Reward: 7.00, Avg Reward (last 100): -8.17, Epsilon: 0.923, Loss: 26.7774, Steps: 2
2025-04-26 14:09:50,052 - INFO - Episode 160, Reward: -27.00, Avg Reward (last 100): -8.07, Epsilon: 0.923, Loss: 22.5410, Steps: 9
2025-04-26 14:09:50,076 - INFO - Episode 161, Reward: 7.00, Avg Reward (last 100): -7.65, Epsilon: 0.922, Loss: 27.1093, Steps: 2
2025-04-26 14:09:50,106 - INFO - Episode 162, Reward: -20.00, Avg Reward (last 100): -7.85, Epsilon: 0.922, Loss: 27.0417, Steps: 9
2025-04-26 14:09:50,130 - INFO - Episode 163, Reward: 11.00, Avg Reward (last 100): -7.76, Epsilon: 0.921, Loss: 18.8981, Steps: 1
2025-04-26 14:09:50,159 - INFO - Episode 164, Reward: 11.00, Avg Reward (last 100): -7.71, Epsilon: 0.921, Loss: 25.6638, Steps: 7
2025-04-26 14:09:50,184 - INFO - Episode 165, Reward: 13.00, Avg Reward (last 100): -7.70, Epsilon: 0.920, Loss: 24.9274, Steps: 3
2025-04-26 14:09:50,212 - INFO - Episode 166, Reward: -15.00, Avg Reward (last 100): -7.78, Epsilon: 0.920, Loss: 26.0699, Steps: 7
2025-04-26 14:09:50,251 - INFO - Episode 167, Reward: -52.00, Avg Reward (last 100): -8.09, Epsilon: 0.919, Loss: 26.8606, Steps: 17
2025-04-26 14:09:50,275 - INFO - Episode 168, Reward: 3.00, Avg Reward (last 100): -7.65, Epsilon: 0.919, Loss: 25.8723, Steps: 3
2025-04-26 14:09:50,301 - INFO - Episode 169, Reward: 6.00, Avg Reward (last 100): -7.70, Epsilon: 0.918, Loss: 28.2284, Steps: 4
2025-04-26 14:09:50,350 - INFO - Episode 170, Reward: -108.00, Avg Reward (last 100): -8.97, Epsilon: 0.918, Loss: 24.9973, Steps: 30
2025-04-26 14:09:50,376 - INFO - Episode 171, Reward: 11.00, Avg Reward (last 100): -8.72, Epsilon: 0.918, Loss: 22.0450, Steps: 3
2025-04-26 14:09:50,405 - INFO - Episode 172, Reward: -16.00, Avg Reward (last 100): -8.86, Epsilon: 0.917, Loss: 21.9219, Steps: 7
2025-04-26 14:09:50,432 - INFO - Episode 173, Reward: 2.00, Avg Reward (last 100): -8.29, Epsilon: 0.917, Loss: 25.2985, Steps: 5
2025-04-26 14:09:50,457 - INFO - Episode 174, Reward: 4.00, Avg Reward (last 100): -8.25, Epsilon: 0.916, Loss: 30.6181, Steps: 2
2025-04-26 14:09:50,486 - INFO - Episode 175, Reward: -5.00, Avg Reward (last 100): -8.26, Epsilon: 0.916, Loss: 25.1849, Steps: 8
2025-04-26 14:09:50,509 - INFO - Episode 176, Reward: 11.00, Avg Reward (last 100): -8.19, Epsilon: 0.915, Loss: 24.0191, Steps: 2
